Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,240053001,1,0.3,ppm,3,Essex,19,79,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/2/2016,AQS,240053001,1,0.9,ppm,10,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/3/2016,AQS,240053001,1,1.4,ppm,16,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/4/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/5/2016,AQS,240053001,1,0.8,ppm,9,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/6/2016,AQS,240053001,1,1.3,ppm,15,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/7/2016,AQS,240053001,1,1,ppm,11,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/8/2016,AQS,240053001,1,0.4,ppm,5,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/9/2016,AQS,240053001,1,0.4,ppm,5,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/10/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/11/2016,AQS,240053001,1,0.4,ppm,5,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/12/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/13/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/14/2016,AQS,240053001,1,0.8,ppm,9,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/15/2016,AQS,240053001,1,1.5,ppm,17,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/16/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/17/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/18/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/19/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/20/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/21/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/22/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/23/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/24/2016,AQS,240053001,1,0.7,ppm,8,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/25/2016,AQS,240053001,1,1.4,ppm,16,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/26/2016,AQS,240053001,1,1.4,ppm,16,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/27/2016,AQS,240053001,1,1.5,ppm,17,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/28/2016,AQS,240053001,1,1.1,ppm,13,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/29/2016,AQS,240053001,1,0.7,ppm,8,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/30/2016,AQS,240053001,1,0.4,ppm,5,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
1/31/2016,AQS,240053001,1,0.8,ppm,9,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/1/2016,AQS,240053001,1,0.8,ppm,9,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/2/2016,AQS,240053001,1,0.6,ppm,7,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/3/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/4/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/5/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/6/2016,AQS,240053001,1,0.7,ppm,8,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/7/2016,AQS,240053001,1,0.8,ppm,9,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/8/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/9/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/10/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/11/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/12/2016,AQS,240053001,1,0.4,ppm,5,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/13/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/14/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/15/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/16/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/17/2016,AQS,240053001,1,0.9,ppm,10,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/18/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/19/2016,AQS,240053001,1,0.7,ppm,8,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/20/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/21/2016,AQS,240053001,1,0.6,ppm,7,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/22/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/23/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/24/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/25/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/26/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/27/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/28/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
2/29/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
3/1/2016,AQS,240053001,1,0.5,ppm,6,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
3/2/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
3/3/2016,AQS,240053001,1,0.3,ppm,3,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
3/4/2016,AQS,240053001,1,0.2,ppm,2,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
3/5/2016,AQS,240053001,1,0.4,ppm,5,Essex,24,100,42101,Carbon monoxide,12580,"Baltimore-Columbia-Towson, MD",24,Maryland,5,Baltimore,39.310833,-76.474444
